,customer_id,review_id,length_scores
0,20422322,R8MEA6IGAHO0B,87
1,40835037,R31LOQ8JGLPRLK,5
2,51469641,R2Y0MM9YE6OP3P,37
3,4332923,RRB9C05HDOD4O,47
4,44855305,R26I2RI1GFV8QG,79
5,7846966,RY8DDL22YG4R5,65
6,21299354,R2AT2426ZHFUHH,70
7,28902968,R3RRXU2R23NMQ9,21
8,2074438,R250PR8VJUZ62F,28
9,48701722,RBEMQ29WJBHYG,250
10,2990247,R19VVIUT4BZCMT,64
11,52946117,R1DT8JJUQHUKUL,324
12,49359994,RLIL6S9OGM3YA,4
13,4158732,R34EZZ68VYPHO0,5
14,18944032,R3TZNSOXS13SIG,9
15,279606,R12UBZT87UX3AP,67
16,10947966,R5KCRE927NYMU,394
17,18387442,RT12RQFU0V2AX,104
18,48950322,R2K0YQPV5W2SJ1,163
19,48148197,R104MY31OKNGXH,26
20,133451,R3EQYRGIIJQBHT,358
21,24863069,R32MW6D6CXKCFW,14
22,6202237,RFO6FJSAA391Z,5
23,23652105,R1IG9KI4EWNE4W,133
24,399812,R3IF1H9L7WSGQD,150
25,48805811,R38T4K7X8UBVO7,27
26,528818,R19C76D4LWB6CM,19
27,10757416,R260G1C72KG6KC,538
28,30841819,R2SLX39DAJSG0V,42
29,32397073,R5I2YBT9J85FF,100
30,22070226,R28UEIZZYTOC6N,11
31,37645678,R2EJI73CFP0N1Q,85
32,22480021,R31SFE3UEUA0EY,46
33,27920584,R2N4NDRA7Q1SE5,50
34,49109878,R8X0E4KMQKGRK,201
35,4159021,R36A0KHN48CHBP,34
36,14738400,R3PG8VI81UURO5,96
37,29340349,RABE0NGQ36XZX,118
38,53076619,R3VCLPEEQYTKLJ,820
39,43493634,R2OC0E4X4RISOB,73
40,48689977,R2F2BCP1CC8VKZ,7
41,3962209,R174DGBVW0UWAJ,48
42,26081688,R2074W1A28UUU6,406
43,42129235,R3P0BV6H71DE5,62
44,36246895,RQ415EM6JPUG1,31
45,10247168,R1M8PKOFRU2DZ,62
46,45774171,R2RWA9DSTPVRCI,42
